http://www.nist.gov/pml/data/comp.cfm

Isotope: Atomic number, Symbol, and Mass number

NB: I had to add a '0.0()' in the third column of the first line for elements
beyond He, as well as a () after the fractions that were 1.0000, in order
to conform to my reading statement. BPz 12/06-2012 

Isotope      Atomic Mass        Composition   Atomic Weight    Notes     
_________________________________________________________________________
        68   67.9296109(17)                 
        69   68.9294293(15)                 
        70   69.9323923(17)                 
        71   70.9326768(16)                 
        72   71.9358203(15)                 
        73   72.936675(4)                   
        74   73.939875(7)                   
        75   74.94190(105)                  
        76   75.945275(7)                   
        77   76.94785(43)#                  
        78   77.95196(43)#                  
        79   78.95456(54)#                  
        80   79.96087(64)#                  
_________________________________________________________________________
30  Zn  54   53.99295(43)#      0.0()         65.38(2)          
        55   54.98398(27)#                  
        56   55.97238(28)#                  
        57   56.96479(11)#                  
        58   57.954590(50)                  
        59   58.949260(40)                  
        60   59.941827(11)                  
        61   60.939511(17)                  
        62   61.934330(11)                  
        63   62.9332116(17)                 
        64   63.9291422(7)      0.48268(321)
        65   64.9292410(7)                  
        66   65.9260334(10)     0.27975(77) 
        67   66.9271273(10)     0.04102(21) 
        68   67.9248442(10)     0.19024(123)
        69   68.9265503(10)                 
        70   69.9253193(21)     0.00631(9)  
        71   70.927722(11)                  
        72   71.926858(7)                   
        73   72.929780(40)                  
        74   73.929460(50)                  
        75   74.932940(80)                  
        76   75.933290(90)                  
        77   76.93696(13)                   
        78   77.93844(10)                   
        79   78.94265(28)#                  
        80   79.94434(18)                   
        81   80.95048(32)#                  
        82   81.95442(54)#                  
        83   82.96103(54)#                  
_________________________________________________________________________
31  Ga  56   55.99491(28)#      0.0()         69.723(1)         
        57   56.98293(28)#                  
        58   57.97425(23)#                  
        59   58.96337(18)#                  
        60   59.95706(12)#                  
        61   60.949450(60)                  
        62   61.944175(30)                  
        63   62.9392942(14)                 
        64   63.9368387(22)                 
        65   64.9327348(9)                  
        66   65.931589(3)                   
        67   66.9282017(14)                 
        68   67.9279801(16)                 
        69   68.9255736(13)     0.60108(9)  
        70   69.9260220(13)                 
        71   70.9247013(11)     0.39892(9)  
        72   71.9263663(11)                 
        73   72.9251747(18)                 
        74   73.926946(4)                   
        75   74.9265002(26)                 
        76   75.9288276(21)                 
        77   76.9291543(26)                 
        78   77.9316082(26)                 
        79   78.93289(11)                   
        80   79.93652(13)                   
        81   80.93775(21)                   
        82   81.94299(32)#                  
        83   82.94698(32)#                  
        84   83.95265(43)#                  
        85   84.95700(54)#                  
        86   85.96312(86)#                  
_________________________________________________________________________
32  Ge  58   57.99101(34)#      0.0()         72.64(1)          
        59   58.98175(30)#                  
        60   59.97019(25)#                  
        61   60.96379(32)#                  
        62   61.95465(15)#                  
        63   62.94964(21)#                  
        64   63.941650(30)                  
        65   64.93944(11)                   
        66   65.933840(30)                  
        67   66.932734(5)                   
        68   67.928094(7)                   
        69   68.9279645(14)                 
        70   69.9242474(11)     0.2038(18)  
        71   70.9249510(11)                 
        72   71.9220758(18)     0.2731(26)  
        73   72.9234589(18)     0.0776(8)   
        74   73.9211778(18)     0.3672(15)  
        75   74.9228589(18)                 
