    375  '            81317.00'  'O AlCl' -10.777   5    8.02381092D+01 -3.76782369D+01  6.66533607D+00 -4.69976191D-01  1.25966660D-02 3 8 1 13 1 17 1
    376  '            80922.00'  'O TiF' -12.706   5    8.15284601D+01 -3.77219164D+01  6.59124570D+00 -4.58852355D-01  1.21362329D-02 3 8 1 9 1 22 1
    377  '            81722.00'  'O TiCl' -11.193   5    7.07420619D+01 -3.31830699D+01  5.96545353D+00 -4.20786685D-01  1.12826993D-02 3 8 1 17 1 22 1
    378  '            60711.00'  'NaC N' -12.391   6   -1.16008802D+02  8.05274903D+01 -2.15886739D+01  2.88534320D+00 -1.85930360D-01  4.68991179D-03 3 6 1 7 1 11 1
    379  '            10811.00'  'NaO H' -7.923   7    7.81064091D+02 -6.13125481D+02  2.00421069D+02 -3.47994938D+01  3.39196441D+00 -1.75540576D-01 3.76549119D-03 3 1 1 8 1 11 1
    380  '            10812.00'  'MgO H' -7.981   7    1.17173619D+03 -9.21419630D+02  3.02782848D+02 -5.30262224D+01  5.22138423D+00 -2.73491012D-01 5.94891216D-03 3 1 1 8 1 12 1
    381  '            90912.00'  'MgF F' -10.628   5    5.73118214D+01 -2.65386943D+01  4.79600678D+00 -3.34414004D-01  8.85995790D-03 2 9 2 12 1
    382  '            91217.00'  'MgClF' -9.433   5    5.55782085D+01 -2.60075368D+01  4.80608672D+00 -3.41894808D-01  9.24634161D-03 3 9 1 12 1 17 1
    383  '           121717.00'  'MgClCl' -8.060   5    4.26764228D+01 -2.15102674D+01  4.25262196D+00 -3.08039234D-01  8.48127401D-03 2 12 1 17 2
    384  '           123535.00'  'MgBrBr' -6.946   5    3.38685984D+01 -1.71436535D+01  3.58071847D+00 -2.61399719D-01  7.25155481D-03 2 12 1 35 2
    385  '            10813.00'  'AlO H' -10.010   6   -2.64188064D+02  1.76773530D+02 -4.56255584D+01  5.76054134D+00 -3.53353898D-01  8.51888820D-03 3 1 1 8 1 13 1
    386  '            10813.01'  'AlO H +' -2.573   6   -1.87613688D+02  1.28942087D+02 -3.36411893D+01  4.27814725D+00 -2.62374673D-01  6.29595240D-03 4 1 1 8 1 13 1 99 -1
    387  '            90913.00'  'AlF F' -12.174   6   -1.28755569D+02  9.95832407D+01 -2.89634692D+01  4.15760564D+00 -2.88861297D-01  7.87260858D-03 2 9 2 13 1
    388  '            81313.00'  'AlAlO' -10.840   7    5.31248324D+02 -4.08271708D+02  1.32441652D+02 -2.30864541D+01  2.28981870D+00 -1.21889669D-01 2.71174075D-03 2 8 1 13 2
    389  '            91317.00'  'AlClF' -10.492   6   -1.09417311D+02  8.58921819D+01 -2.50656853D+01  3.63295013D+00 -2.54641380D-01  6.99676753D-03 3 9 1 13 1 17 1
